pretrained	loss_name	batch_size	imratio	lr	epoch	train_loss	train_auc	test_loss	test_auc
True	square_hinge	5000	0.01	0.001	0	1.0095871686935425	0.5256626605987549	1.0188791751861572	0.5105631947517395
True	square_hinge	5000	0.01	0.001	1	1.0608009099960327	0.5196120738983154	1.0703412294387817	0.5096946358680725
True	square_hinge	5000	0.01	0.001	2	1.0443620681762695	0.5197948217391968	1.056570053100586	0.5142219662666321
True	square_hinge	5000	0.01	0.001	3	1.0332742929458618	0.5127010941505432	1.0394458770751953	0.5172046422958374
True	square_hinge	5000	0.01	0.001	4	1.0197075605392456	0.5133369565010071	1.0298140048980713	0.5188930630683899
True	square_hinge	5000	0.01	0.001	5	1.0127636194229126	0.5207837224006653	1.0248221158981323	0.5198203325271606
True	square_hinge	5000	0.01	0.001	6	1.009379267692566	0.5229401588439941	1.0202020406723022	0.5215563774108887
True	square_hinge	5000	0.01	0.001	7	1.0069823265075684	0.5253622531890869	1.0168414115905762	0.5229902267456055
True	square_hinge	5000	0.01	0.001	8	1.004085659980774	0.530040442943573	1.0149126052856445	0.5239099264144897
True	square_hinge	5000	0.01	0.001	9	1.0015126466751099	0.5326031446456909	1.013458013534546	0.5246376991271973
True	square_hinge	5000	0.01	0.001	10	0.9973883032798767	0.5464317202568054	1.0122064352035522	0.5251262187957764
True	square_hinge	5000	0.01	0.001	11	0.9940025210380554	0.5417546033859253	1.0108308792114258	0.5256617665290833
True	square_hinge	5000	0.01	0.001	12	1.0003114938735962	0.535880446434021	1.009830117225647	0.5258961319923401
True	square_hinge	5000	0.01	0.001	13	1.006604790687561	0.519901692867279	1.008988618850708	0.5263240337371826
True	square_hinge	5000	0.01	0.001	14	0.997361421585083	0.5338549017906189	1.0079939365386963	0.5264304876327515
True	square_hinge	5000	0.01	0.001	15	0.9968997240066528	0.5432793498039246	1.007551908493042	0.527138888835907
True	square_hinge	5000	0.01	0.001	16	0.9943055510520935	0.5363543033599854	1.0068652629852295	0.5275920033454895
True	square_hinge	5000	0.01	0.001	17	0.9936469793319702	0.5453355312347412	1.0062446594238281	0.528123676776886
True	square_hinge	5000	0.01	0.001	18	0.9939695000648499	0.5374376773834229	1.0054707527160645	0.5285431742668152
True	square_hinge	5000	0.01	0.001	19	0.9951974153518677	0.5403110980987549	1.0050160884857178	0.5290268063545227
True	square_hinge	5000	0.01	0.001	20	0.9945566058158875	0.5367159247398376	1.004378318786621	0.5295867919921875
True	square_hinge	5000	0.01	0.001	21	0.9938445687294006	0.5447186231613159	1.0038018226623535	0.5300657153129578
True	square_hinge	5000	0.01	0.001	22	0.9929773211479187	0.5433961749076843	1.0033751726150513	0.5305761694908142
True	square_hinge	5000	0.01	0.001	23	0.9922930002212524	0.5441006422042847	1.0028592348098755	0.5311546325683594
True	square_hinge	5000	0.01	0.001	24	0.9866374731063843	0.5534909963607788	1.0023409128189087	0.5316497087478638
True	square_hinge	5000	0.01	0.001	25	0.9899181127548218	0.5487534403800964	1.001814365386963	0.5322067737579346
True	square_hinge	5000	0.01	0.001	26	0.9912646412849426	0.5480051040649414	1.0013129711151123	0.5326929092407227
True	square_hinge	5000	0.01	0.001	27	0.9928740859031677	0.5392816066741943	1.0008658170700073	0.5332761406898499
True	square_hinge	5000	0.01	0.001	28	0.9876977205276489	0.5545441508293152	1.000519871711731	0.5338955521583557
True	square_hinge	5000	0.01	0.001	29	0.9901846647262573	0.5442182421684265	0.9999788999557495	0.5345413684844971
True	square_hinge	5000	0.01	0.001	30	0.990535318851471	0.5443907380104065	0.9996390342712402	0.5350732803344727
True	square_hinge	5000	0.01	0.001	31	0.9881909489631653	0.5481380820274353	0.9991714954376221	0.5355954170227051
True	square_hinge	5000	0.01	0.001	32	0.9820675253868103	0.5631003379821777	0.9987141489982605	0.5362120270729065
True	square_hinge	5000	0.01	0.001	33	0.9903676509857178	0.5545461177825928	0.9984233379364014	0.536819577217102
True	square_hinge	5000	0.01	0.001	34	0.9874408841133118	0.557192325592041	0.9979110360145569	0.5373602509498596
True	square_hinge	5000	0.01	0.001	35	0.9906013607978821	0.5464646816253662	0.9975112676620483	0.5379247665405273
True	square_hinge	5000	0.01	0.001	36	0.983887791633606	0.5607596635818481	0.9972727298736572	0.5384721159934998
