pretrained	loss_name	batch_size	imratio	lr	epoch	train_loss	train_auc	test_loss	test_auc
True	square_hinge	1000	0.1	0.0001	0	1.0047141313552856	0.5072806477546692	1.0045593976974487	0.5082746148109436
True	square_hinge	1000	0.1	0.0001	1	1.0061460733413696	0.5136134624481201	1.0049865245819092	0.5147143006324768
True	square_hinge	1000	0.1	0.0001	2	1.0031083822250366	0.5171481370925903	1.0057344436645508	0.5143520832061768
True	square_hinge	1000	0.1	0.0001	3	1.0044490098953247	0.5160526633262634	1.0052025318145752	0.5150797963142395
True	square_hinge	1000	0.1	0.0001	4	1.0051177740097046	0.5150795578956604	1.0045112371444702	0.5160278081893921
True	square_hinge	1000	0.1	0.0001	5	1.002174735069275	0.5206620693206787	1.0042076110839844	0.5162273645401001
True	square_hinge	1000	0.1	0.0001	6	1.0025529861450195	0.5199239253997803	1.0037546157836914	0.51678466796875
True	square_hinge	1000	0.1	0.0001	7	1.0024908781051636	0.518512487411499	1.0030924081802368	0.517676830291748
True	square_hinge	1000	0.1	0.0001	8	1.0027987957000732	0.5184410810470581	1.0027201175689697	0.5180315971374512
True	square_hinge	1000	0.1	0.0001	9	1.0049513578414917	0.5145339965820312	1.0023114681243896	0.5185685157775879
True	square_hinge	1000	0.1	0.0001	10	1.0028753280639648	0.5178626775741577	1.0017112493515015	0.5193789601325989
True	square_hinge	1000	0.1	0.0001	11	1.0033091306686401	0.5155878067016602	1.001295566558838	0.5198593139648438
True	square_hinge	1000	0.1	0.0001	12	1.0008678436279297	0.5237556099891663	1.0009515285491943	0.5202463865280151
True	square_hinge	1000	0.1	0.0001	13	1.0016238689422607	0.5188365578651428	1.0005192756652832	0.5209845900535583
True	square_hinge	1000	0.1	0.0001	14	0.9982379674911499	0.5255669951438904	1.0001602172851562	0.5213488340377808
True	square_hinge	1000	0.1	0.0001	15	0.9998581409454346	0.5215207934379578	0.999758243560791	0.5218636989593506
True	square_hinge	1000	0.1	0.0001	16	1.000160574913025	0.522280216217041	0.9992560744285583	0.5225012302398682
True	square_hinge	1000	0.1	0.0001	17	0.9990684390068054	0.5240265727043152	0.9988690614700317	0.5229964256286621
True	square_hinge	1000	0.1	0.0001	18	0.9980487823486328	0.5248887538909912	0.9984497427940369	0.5235666036605835
True	square_hinge	1000	0.1	0.0001	19	0.9985281229019165	0.5243951082229614	0.9982959032058716	0.523684024810791
True	square_hinge	1000	0.1	0.0001	20	0.9967999458312988	0.5260688066482544	0.9979163408279419	0.5241870284080505
True	square_hinge	1000	0.1	0.0001	21	0.9944804906845093	0.5309953689575195	0.9974600672721863	0.5247947573661804
True	square_hinge	1000	0.1	0.0001	22	1.001715898513794	0.5187011361122131	0.9971268177032471	0.5253344774246216
True	square_hinge	1000	0.1	0.0001	23	0.998778223991394	0.5234236717224121	0.9967106580734253	0.5258642435073853
True	square_hinge	1000	0.1	0.0001	24	0.9981521964073181	0.5245064496994019	0.9961575865745544	0.5266939997673035
True	square_hinge	1000	0.1	0.0001	25	0.9987713694572449	0.5231112241744995	0.9959401488304138	0.5268900394439697
True	square_hinge	1000	0.1	0.0001	26	0.9952638149261475	0.5283887386322021	0.9956279397010803	0.5273935794830322
True	square_hinge	1000	0.1	0.0001	27	0.9965596199035645	0.5259706974029541	0.9951713681221008	0.5280550718307495
True	square_hinge	1000	0.1	0.0001	28	0.9965136647224426	0.5278357863426208	0.9949983954429626	0.5282261371612549
True	square_hinge	1000	0.1	0.0001	29	0.9964321255683899	0.5273953080177307	0.994710385799408	0.5286418795585632
True	square_hinge	1000	0.1	0.0001	30	0.9979283809661865	0.5260568857192993	0.994434654712677	0.5289446711540222
True	square_hinge	1000	0.1	0.0001	31	0.9947986006736755	0.5284180641174316	0.9940884709358215	0.5294939279556274
True	square_hinge	1000	0.1	0.0001	32	0.9981670379638672	0.5244894623756409	0.9936596155166626	0.5301710367202759
True	square_hinge	1000	0.1	0.0001	33	0.9980139136314392	0.5261242985725403	0.9935484528541565	0.5303329229354858
True	square_hinge	1000	0.1	0.0001	34	0.9961123466491699	0.5278597474098206	0.993230938911438	0.5307935476303101
True	square_hinge	1000	0.1	0.0001	35	0.9931399822235107	0.5324183106422424	0.9927724003791809	0.5314739942550659
True	square_hinge	1000	0.1	0.0001	36	0.9941547513008118	0.52968829870224	0.9925276637077332	0.5318339467048645
True	square_hinge	1000	0.1	0.0001	37	0.9918316006660461	0.5360329151153564	0.9924065470695496	0.5319852232933044
True	square_hinge	1000	0.1	0.0001	38	0.9920499324798584	0.5337657928466797	0.9920399785041809	0.5325892567634583
True	square_hinge	1000	0.1	0.0001	39	0.9937715530395508	0.5303059816360474	0.9918422102928162	0.5327979922294617
True	square_hinge	1000	0.1	0.0001	40	0.9909236431121826	0.5365844368934631	0.9914592504501343	0.5334572196006775
True	square_hinge	1000	0.1	0.0001	41	0.9927561283111572	0.5314767360687256	0.9912821054458618	0.5336551666259766
True	square_hinge	1000	0.1	0.0001	42	0.9951993227005005	0.5284587144851685	0.9909618496894836	0.5341353416442871
True	square_hinge	1000	0.1	0.0001	43	0.9933906197547913	0.5316736102104187	0.9907016754150391	0.534558892250061
