pretrained	loss_name	batch_size	imratio	lr	epoch	train_loss	train_auc	test_loss	test_auc
True	square_hinge	5000	0.1	0.001	0	0.9904630184173584	0.5434443950653076	0.9840975403785706	0.5531966686248779
True	square_hinge	5000	0.1	0.001	1	1.0054000616073608	0.5084577202796936	1.002766728401184	0.519467830657959
True	square_hinge	5000	0.1	0.001	2	1.0050991773605347	0.5097143650054932	1.004771113395691	0.5174413919448853
True	square_hinge	5000	0.1	0.001	3	1.0055866241455078	0.5128658413887024	1.0014618635177612	0.5268826484680176
True	square_hinge	5000	0.1	0.001	4	1.0026748180389404	0.519019365310669	0.996367335319519	0.5339545607566833
True	square_hinge	5000	0.1	0.001	5	0.997635006904602	0.5279714465141296	0.9911341071128845	0.5387932062149048
True	square_hinge	5000	0.1	0.001	6	0.997685968875885	0.5248054265975952	0.9873974919319153	0.5407682657241821
True	square_hinge	5000	0.1	0.001	7	0.9938912987709045	0.5286674499511719	0.9847899079322815	0.5418972969055176
True	square_hinge	5000	0.1	0.001	8	0.9940889477729797	0.5268535017967224	0.9832956790924072	0.5423985123634338
True	square_hinge	5000	0.1	0.001	9	0.9919969439506531	0.5289130210876465	0.9825804233551025	0.5425444841384888
True	square_hinge	5000	0.1	0.001	10	0.992396354675293	0.5284838676452637	0.9821423292160034	0.5426924824714661
True	square_hinge	5000	0.1	0.001	11	0.9913370609283447	0.5298469662666321	0.9818801879882812	0.5428670644760132
True	square_hinge	5000	0.1	0.001	12	0.9905635118484497	0.5300921201705933	0.9816445708274841	0.5430929660797119
True	square_hinge	5000	0.1	0.001	13	0.9922217130661011	0.5266798734664917	0.9814325571060181	0.5433359146118164
True	square_hinge	5000	0.1	0.001	14	0.9910407662391663	0.5280925035476685	0.9812448620796204	0.5435553789138794
True	square_hinge	5000	0.1	0.001	15	0.9875607490539551	0.5348896980285645	0.9810633063316345	0.5437641143798828
True	square_hinge	5000	0.1	0.001	16	0.9901686310768127	0.5308132171630859	0.9808919429779053	0.5439621806144714
True	square_hinge	5000	0.1	0.001	17	0.9911450147628784	0.5277281403541565	0.9807368516921997	0.5441651344299316
True	square_hinge	5000	0.1	0.001	18	0.9895451664924622	0.5324093103408813	0.9805570244789124	0.5444010496139526
True	square_hinge	5000	0.1	0.001	19	0.9893790483474731	0.53224116563797	0.9804048538208008	0.5445659756660461
True	square_hinge	5000	0.1	0.001	20	0.9918714165687561	0.5262293815612793	0.9802445769309998	0.5447711944580078
True	square_hinge	5000	0.1	0.001	21	0.9892969131469727	0.5324289202690125	0.9800952672958374	0.5449753999710083
True	square_hinge	5000	0.1	0.001	22	0.9889159798622131	0.5325456857681274	0.9799453616142273	0.545175313949585
True	square_hinge	5000	0.1	0.001	23	0.9893210530281067	0.5319459438323975	0.9797675013542175	0.5453972220420837
True	square_hinge	5000	0.1	0.001	24	0.9902974367141724	0.5301165580749512	0.9796028733253479	0.5456033945083618
True	square_hinge	5000	0.1	0.001	25	0.9884188175201416	0.5338995456695557	0.9794253706932068	0.5458410978317261
True	square_hinge	5000	0.1	0.001	26	0.9885786771774292	0.5336533188819885	0.9792709350585938	0.5460463166236877
True	square_hinge	5000	0.1	0.001	27	0.9884164333343506	0.5325856804847717	0.9791125059127808	0.5462466478347778
True	square_hinge	5000	0.1	0.001	28	0.9883785843849182	0.5316938161849976	0.9789324998855591	0.5464682579040527
True	square_hinge	5000	0.1	0.001	29	0.9885357618331909	0.532213568687439	0.9787695407867432	0.5466843843460083
True	square_hinge	5000	0.1	0.001	30	0.9892328977584839	0.5309244990348816	0.9786243438720703	0.546855628490448
True	square_hinge	5000	0.1	0.001	31	0.9889585375785828	0.5307942628860474	0.9784387946128845	0.5470808744430542
True	square_hinge	5000	0.1	0.001	32	0.9888275265693665	0.5307737588882446	0.9782860279083252	0.5472708344459534
True	square_hinge	5000	0.1	0.001	33	0.988980770111084	0.5308116674423218	0.9780995845794678	0.5475053787231445
True	square_hinge	5000	0.1	0.001	34	0.9890071749687195	0.5309839844703674	0.9779465794563293	0.5476943254470825
True	square_hinge	5000	0.1	0.001	35	0.9866667985916138	0.5360082387924194	0.9777653813362122	0.5479057431221008
True	square_hinge	5000	0.1	0.001	36	0.9887835383415222	0.5313668251037598	0.9775897860527039	0.5481089353561401
True	square_hinge	5000	0.1	0.001	37	0.9904593229293823	0.5284866094589233	0.9774147868156433	0.5482993721961975
