batch_size	imratio	epoch	lr	train_loss	train_auc	test_loss	test_auc
50	0.5	0	10.0	0.9999289512634277	0.5013401508331299	1.0	0.5014999508857727
50	0.5	1	10.0	0.9999289512634277	0.5011798739433289	1.0	0.5012000203132629
50	0.5	2	10.0	0.9999289512634277	0.5008001923561096	1.0	0.5010003447532654
50	0.5	3	10.0	0.9999289512634277	0.5013198256492615	1.0	0.5016999244689941
50	0.5	4	10.0	0.9999289512634277	0.5011000633239746	1.0	0.5013998746871948
50	0.5	5	10.0	0.9999289512634277	0.5012400150299072	1.0	0.5014004707336426
50	0.5	6	10.0	0.9999289512634277	0.5012602210044861	1.0	0.5012997388839722
50	0.5	7	10.0	0.9999289512634277	0.5008200407028198	1.0	0.5008005499839783
50	0.5	8	10.0	0.9999289512634277	0.5008202195167542	1.0	0.5011999011039734
50	0.5	9	10.0	0.9999289512634277	0.5011200308799744	1.0	0.5015997290611267
50	0.5	10	10.0	0.9999289512634277	0.5011400580406189	1.0	0.5012999773025513
50	0.5	11	10.0	0.9999289512634277	0.5011603832244873	1.0	0.5016002058982849
50	0.5	12	10.0	0.9999289512634277	0.5013201236724854	1.0	0.5013000965118408
50	0.5	13	10.0	0.9999289512634277	0.5011799931526184	1.0	0.5014004707336426
50	0.5	14	10.0	0.9999289512634277	0.5011001825332642	1.0	0.5014000535011292
50	0.5	15	10.0	0.9999289512634277	0.5010402202606201	1.0	0.5014005899429321
50	0.5	16	10.0	0.9999289512634277	0.5011804699897766	1.0	0.5014004707336426
50	0.5	17	10.0	0.9999289512634277	0.5013601183891296	1.0	0.5015999674797058
50	0.5	18	10.0	0.9999289512634277	0.5012602806091309	1.0	0.5015997290611267
50	0.5	19	10.0	0.9999289512634277	0.5010203719139099	1.0	0.5014008283615112
50	0.5	20	10.0	0.9999289512634277	0.5009003281593323	1.0	0.5016005635261536
50	0.5	21	10.0	0.9999289512634277	0.5010400414466858	1.0	0.5013999342918396
50	0.5	22	10.0	0.9999289512634277	0.5012805461883545	1.0	0.5015006065368652
50	0.5	23	10.0	0.9999289512634277	0.5011804103851318	1.0	0.5018001794815063
50	0.5	24	10.0	0.9999289512634277	0.5013000965118408	1.0	0.5015000104904175
50	0.5	25	10.0	0.9999289512634277	0.5011800527572632	1.0	0.5014005899429321
50	0.5	26	10.0	0.9999289512634277	0.5010800957679749	1.0	0.5016005635261536
50	0.5	27	10.0	0.9999289512634277	0.5012403726577759	1.0	0.5014001727104187
50	0.5	28	10.0	0.9999289512634277	0.5008202195167542	1.0	0.5013999342918396
50	0.5	29	10.0	0.9999289512634277	0.5009204745292664	1.0	0.5016005635261536
50	0.5	30	10.0	0.9999289512634277	0.5012202262878418	1.0	0.5015999674797058
50	0.5	31	10.0	0.9999289512634277	0.5013803839683533	1.0	0.5016001462936401
50	0.5	32	10.0	0.9999289512634277	0.5009801387786865	1.0	0.5015004277229309
50	0.5	33	10.0	0.9999289512634277	0.5013402700424194	1.0	0.5016003847122192
50	0.5	34	10.0	0.9999289512634277	0.5013201832771301	1.0	0.5014001727104187
50	0.5	35	10.0	0.9999289512634277	0.501160204410553	1.0	0.5016003847122192
50	0.5	36	10.0	0.9999289512634277	0.5016400218009949	1.0	0.501500129699707
50	0.5	37	10.0	0.9999289512634277	0.5016999244689941	1.0	0.5020999312400818
50	0.5	38	10.0	0.9999289512634277	0.5013002753257751	1.0	0.5016001462936401
50	0.5	39	10.0	0.9999289512634277	0.5012604594230652	1.0	0.5017005801200867
50	0.5	40	10.0	0.9999289512634277	0.5012001991271973	1.0	0.5014000535011292
50	0.5	41	10.0	0.9999289512634277	0.5015401244163513	1.0	0.5015000104904175
50	0.5	42	10.0	0.9999289512634277	0.5012202262878418	1.0	0.5017001032829285
50	0.5	43	10.0	0.9999289512634277	0.501360297203064	1.0	0.5016999840736389
50	0.5	44	10.0	0.9999289512634277	0.5013402700424194	1.0	0.5017998218536377
50	0.5	45	10.0	0.9999289512634277	0.501480221748352	1.0	0.5019003748893738
50	0.5	46	10.0	0.9999289512634277	0.5015004873275757	1.0	0.5016000866889954
50	0.5	47	10.0	0.9999289512634277	0.5012601017951965	1.0	0.5016001462936401
50	0.5	48	10.0	0.9999289512634277	0.501360297203064	1.0	0.5018001794815063
50	0.5	49	10.0	0.9999289512634277	0.5013800859451294	1.0	0.501800000667572
50	0.5	50	10.0	0.9999289512634277	0.5014005899429321	1.0	0.5016010999679565
50	0.5	51	10.0	0.9999289512634277	0.5014604926109314	1.0	0.5014010071754456
50	0.5	52	10.0	0.9999289512634277	0.5013206601142883	1.0	0.5014007091522217
50	0.5	53	10.0	0.9999289512634277	0.5016598105430603	1.0	0.5019001364707947
50	0.5	54	10.0	0.9999289512634277	0.5015006065368652	1.0	0.5016003847122192
50	0.5	55	10.0	0.9999289512634277	0.5014600157737732	1.0	0.5017004013061523
50	0.5	56	10.0	0.9999289512634277	0.5013807415962219	1.0	0.5015008449554443
50	0.5	57	10.0	0.9999289512634277	0.5016001462936401	1.0	0.5016002655029297
50	0.5	58	10.0	0.9999289512634277	0.50154048204422	1.0	0.5016008019447327
50	0.5	59	10.0	0.9999289512634277	0.5014601349830627	1.0	0.5017998218536377
50	0.5	60	10.0	0.9999289512634277	0.5014608502388	1.0	0.5016018152236938
