batch_size	imratio	epoch	lr	train_loss	train_auc	test_loss	test_auc
50	0.5	0	1e-05	0.9996962547302246	0.5239662528038025	0.9864773750305176	0.5380313992500305
50	0.5	1	1e-05	0.9980520606040955	0.5261740684509277	0.9850649833679199	0.539986789226532
50	0.5	2	1e-05	0.9963356256484985	0.5272712707519531	0.9839199781417847	0.5410226583480835
50	0.5	3	1e-05	0.9966204762458801	0.5268533229827881	0.9835383296012878	0.541495144367218
50	0.5	4	1e-05	0.9937822818756104	0.5291457176208496	0.9825794696807861	0.5422264337539673
50	0.5	5	1e-05	0.9943912625312805	0.5287516117095947	0.9826679229736328	0.5421911478042603
50	0.5	6	1e-05	0.9932811260223389	0.5305110216140747	0.9812259078025818	0.5446483492851257
50	0.5	7	1e-05	0.9924593567848206	0.5311020612716675	0.9811479449272156	0.5444955229759216
50	0.5	8	1e-05	0.992509663105011	0.5307683944702148	0.9806541800498962	0.5451350212097168
50	0.5	9	1e-05	0.9900467395782471	0.5324708223342896	0.9794567227363586	0.5457497835159302
50	0.5	10	1e-05	0.9908364415168762	0.5321663618087769	0.9798039197921753	0.5456888675689697
50	0.5	11	1e-05	0.9891324639320374	0.5340166091918945	0.9788327813148499	0.5472516417503357
50	0.5	12	1e-05	0.9882711172103882	0.5358344912528992	0.9777771234512329	0.5491121411323547
50	0.5	13	1e-05	0.9883385896682739	0.5338629484176636	0.9786862134933472	0.5472633838653564
50	0.5	14	1e-05	0.9875275492668152	0.5353341698646545	0.97745281457901	0.5491650700569153
50	0.5	15	1e-05	0.9875554442405701	0.5353381633758545	0.9771287441253662	0.5494234561920166
50	0.5	16	1e-05	0.9867576360702515	0.5371410846710205	0.9767608642578125	0.5504680871963501
50	0.5	17	1e-05	0.9858986139297485	0.5372723340988159	0.9765580892562866	0.550372302532196
50	0.5	18	1e-05	0.9853282570838928	0.5382844805717468	0.9756349325180054	0.5517414808273315
50	0.5	19	1e-05	0.9849755764007568	0.5383856296539307	0.975448489189148	0.5515172481536865
50	0.5	20	1e-05	0.9853114485740662	0.5382069945335388	0.9756265878677368	0.5510342717170715
50	0.5	21	1e-05	0.9835704565048218	0.5401028990745544	0.9747532606124878	0.5529024600982666
50	0.5	22	1e-05	0.9834631085395813	0.5408450365066528	0.9747232794761658	0.552670955657959
50	0.5	23	1e-05	0.9828537106513977	0.540633499622345	0.9738280177116394	0.5536198616027832
50	0.5	24	1e-05	0.982281506061554	0.5416597723960876	0.9734737873077393	0.5542432069778442
50	0.5	25	1e-05	0.981512725353241	0.5427959561347961	0.9733761548995972	0.554893970489502
50	0.5	26	1e-05	0.9815528392791748	0.5424026250839233	0.972581684589386	0.5553231239318848
50	0.5	27	1e-05	0.9812861680984497	0.5429602861404419	0.9726333022117615	0.5553931593894958
50	0.5	28	1e-05	0.9802133440971375	0.5451022386550903	0.9716327786445618	0.5571848750114441
50	0.5	29	1e-05	0.9815382957458496	0.5427905321121216	0.9726978540420532	0.5555050373077393
50	0.5	30	1e-05	0.9799572229385376	0.5441790819168091	0.9714365005493164	0.556847095489502
50	0.5	31	1e-05	0.9805530309677124	0.5439153909683228	0.9716197848320007	0.5565890073776245
50	0.5	32	1e-05	0.9804386496543884	0.5432124137878418	0.9712353348731995	0.5565847158432007
50	0.5	33	1e-05	0.9794611930847168	0.5451449751853943	0.9712464809417725	0.5566506385803223
50	0.5	34	1e-05	0.9785500764846802	0.5456740260124207	0.9702954292297363	0.5578818321228027
50	0.5	35	1e-05	0.9785016179084778	0.5458709001541138	0.9702502489089966	0.5575762391090393
50	0.5	36	1e-05	0.9784495234489441	0.5468016862869263	0.9697370529174805	0.5594049096107483
50	0.5	37	1e-05	0.9761461019515991	0.5484976768493652	0.9695544242858887	0.5592140555381775
50	0.5	38	1e-05	0.9778063297271729	0.5463826060295105	0.9690640568733215	0.5595428943634033
50	0.5	39	1e-05	0.9773727655410767	0.5473814606666565	0.9691187739372253	0.559328019618988
50	0.5	40	1e-05	0.9759589433670044	0.5488309860229492	0.968424379825592	0.5603007078170776
50	0.5	41	1e-05	0.9768280982971191	0.5481094121932983	0.9685888886451721	0.5601943731307983
50	0.5	42	1e-05	0.9756936430931091	0.5486147999763489	0.9677789807319641	0.5606180429458618
50	0.5	43	1e-05	0.9756190776824951	0.5489404201507568	0.967791736125946	0.5608183741569519
50	0.5	44	1e-05	0.9751582741737366	0.5488870143890381	0.9674751162528992	0.5607880353927612
50	0.5	45	1e-05	0.9741562008857727	0.5513436198234558	0.9671592712402344	0.5616825222969055
50	0.5	46	1e-05	0.9754540324211121	0.5491941571235657	0.9669188261032104	0.5614296197891235
50	0.5	47	1e-05	0.974819004535675	0.5501672029495239	0.9664085507392883	0.5626550316810608
50	0.5	48	1e-05	0.9728661775588989	0.5523342490196228	0.9662769436836243	0.5629254579544067
50	0.5	49	1e-05	0.9731748104095459	0.551502525806427	0.9658945798873901	0.5628359317779541
50	0.5	50	1e-05	0.9732338786125183	0.5509092211723328	0.9652344584465027	0.5630382895469666
50	0.5	51	1e-05	0.9725435972213745	0.5524811744689941	0.9653239250183105	0.563919186592102
50	0.5	52	1e-05	0.9736589193344116	0.5509639382362366	0.9656373858451843	0.5631759762763977
50	0.5	53	1e-05	0.9729082584381104	0.5518422722816467	0.9654689431190491	0.5632174015045166
50	0.5	54	1e-05	0.9711698889732361	0.5541501641273499	0.9641559720039368	0.565080463886261
50	0.5	55	1e-05	0.9726715683937073	0.5526486039161682	0.964389443397522	0.564083456993103
50	0.5	56	1e-05	0.9725243449211121	0.5524482727050781	0.9647398591041565	0.563672661781311
50	0.5	57	1e-05	0.9719827175140381	0.5527253150939941	0.9637839198112488	0.564988911151886
50	0.5	58	1e-05	0.9718025326728821	0.5524331331253052	0.9637266993522644	0.5646238923072815
50	0.5	59	1e-05	0.9706354737281799	0.5550152659416199	0.9641702175140381	0.566187858581543
50	0.5	60	1e-05	0.9703806042671204	0.5545091032981873	0.9630762934684753	0.5655470490455627
50	0.5	61	1e-05	0.9705712795257568	0.5542618632316589	0.9628737568855286	0.5660301446914673
50	0.5	62	1e-05	0.9701916575431824	0.5545836687088013	0.9628454446792603	0.5657644271850586
50	0.5	63	1e-05	0.970200777053833	0.5550009608268738	0.9622686505317688	0.5662798285484314
50	0.5	64	1e-05	0.9688599705696106	0.5565211772918701	0.9619469046592712	0.5672116279602051
50	0.5	65	1e-05	0.9690613746643066	0.5560662746429443	0.9618644714355469	0.5670841932296753
50	0.5	66	1e-05	0.969397783279419	0.5553789138793945	0.9614846110343933	0.5670161247253418
50	0.5	67	1e-05	0.9689998626708984	0.5564571619033813	0.9606236219406128	0.5677295923233032
50	0.5	68	1e-05	0.9686303734779358	0.5571064352989197	0.9612998962402344	0.5681689381599426
50	0.5	69	1e-05	0.9678331613540649	0.5577429533004761	0.9610279202461243	0.5681694746017456
50	0.5	70	1e-05	0.967936635017395	0.5572141408920288	0.9604794979095459	0.5684344172477722
50	0.5	71	1e-05	0.9670420289039612	0.5583028793334961	0.9605172276496887	0.5683426856994629
50	0.5	72	1e-05	0.9673005938529968	0.5578505992889404	0.9596605896949768	0.5685496926307678
50	0.5	73	1e-05	0.966484785079956	0.5590196847915649	0.9596936106681824	0.5692135095596313
50	0.5	74	1e-05	0.9676522612571716	0.5579596757888794	0.9591541886329651	0.5693085193634033
50	0.5	75	1e-05	0.9665966033935547	0.5587857365608215	0.9594402313232422	0.569855809211731
50	0.5	76	1e-05	0.9662270545959473	0.5587911009788513	0.9586623311042786	0.5699348449707031
50	0.5	77	1e-05	0.9662981033325195	0.5587939023971558	0.958873450756073	0.5697387456893921
50	0.5	78	1e-05	0.9653215408325195	0.5598888397216797	0.958787739276886	0.5703288316726685
50	0.5	79	1e-05	0.9653985500335693	0.5596299767494202	0.958398163318634	0.5704853534698486
50	0.5	80	1e-05	0.9654572010040283	0.5593510866165161	0.9582555890083313	0.5704613924026489
50	0.5	81	1e-05	0.9659091234207153	0.5588864088058472	0.9578742980957031	0.5698941946029663
50	0.5	82	1e-05	0.964648962020874	0.5612546801567078	0.9577232599258423	0.571434497833252
50	0.5	83	1e-05	0.9647042751312256	0.5609285235404968	0.9574610590934753	0.5714266896247864
50	0.5	84	1e-05	0.9642331004142761	0.5607284307479858	0.9571094512939453	0.5713430643081665
50	0.5	85	1e-05	0.9647454023361206	0.5608258247375488	0.9577770233154297	0.5711726546287537
50	0.5	86	1e-05	0.964464545249939	0.5606493353843689	0.9575415253639221	0.5714105367660522
50	0.5	87	1e-05	0.9633104801177979	0.561562716960907	0.9566305875778198	0.5714291334152222
50	0.5	88	1e-05	0.9632642865180969	0.5625497698783875	0.9561153054237366	0.572443425655365
50	0.5	89	1e-05	0.9636939764022827	0.5615522861480713	0.956130862236023	0.5726749897003174
50	0.5	90	1e-05	0.9633593559265137	0.5609194040298462	0.956272542476654	0.5719836950302124
50	0.5	91	1e-05	0.9641266465187073	0.561555802822113	0.9557483792304993	0.5731582045555115
50	0.5	92	1e-05	0.9638077616691589	0.5613582134246826	0.9557637572288513	0.572194516658783
50	0.5	93	1e-05	0.9637515544891357	0.5615813136100769	0.955391526222229	0.5730173587799072
50	0.5	94	1e-05	0.9621843695640564	0.5633952617645264	0.9551482200622559	0.5735503435134888
50	0.5	95	1e-05	0.9622452259063721	0.5637532472610474	0.9548399448394775	0.5740427374839783
50	0.5	96	1e-05	0.961081862449646	0.563998818397522	0.9547448754310608	0.5740960240364075
50	0.5	97	1e-05	0.9617403745651245	0.5634207725524902	0.9542747735977173	0.5740750432014465
50	0.5	98	1e-05	0.9613702893257141	0.5642874240875244	0.9542905688285828	0.5742402672767639
