batch_size	imratio	epoch	lr	train_loss	train_auc	test_loss	test_auc
500	0.5	0	0.01	0.9241828322410583	0.6114237308502197	0.9207905530929565	0.6178381443023682
500	0.5	1	0.01	0.877655029296875	0.6466723680496216	0.8752244114875793	0.6512078642845154
500	0.5	2	0.01	0.8470775485038757	0.666265070438385	0.8427128791809082	0.670948326587677
500	0.5	3	0.01	0.827666699886322	0.6778746247291565	0.8268084526062012	0.6820136904716492
500	0.5	4	0.01	0.7834482192993164	0.7041767835617065	0.7956243753433228	0.6980018019676208
500	0.5	5	0.01	0.762443482875824	0.7133939862251282	0.7950308918952942	0.6949130892753601
500	0.5	6	0.01	0.7454572319984436	0.7224247455596924	0.782088577747345	0.7029205560684204
500	0.5	7	0.01	0.7340140342712402	0.7303148508071899	0.757203221321106	0.7204403877258301
500	0.5	8	0.01	0.7153269648551941	0.7376298904418945	0.7465744614601135	0.7215373516082764
500	0.5	9	0.01	0.7046844363212585	0.7433044910430908	0.7418068051338196	0.7260317802429199
500	0.5	10	0.01	0.7155512571334839	0.742677628993988	0.7397071123123169	0.733900249004364
500	0.5	11	0.01	0.7005239725112915	0.7470027804374695	0.7183817028999329	0.741077721118927
500	0.5	12	0.01	0.6763182878494263	0.757642388343811	0.7229307293891907	0.7345139980316162
500	0.5	13	0.01	0.6605000495910645	0.7647961974143982	0.7063692808151245	0.7435196042060852
500	0.5	14	0.01	0.6663697957992554	0.7622634768486023	0.6855720281600952	0.7541056275367737
500	0.5	15	0.01	0.6532012820243835	0.7701208591461182	0.6909056901931763	0.7505383491516113
500	0.5	16	0.01	0.6583987474441528	0.7685280442237854	0.6911622285842896	0.7609494924545288
500	0.5	17	0.01	0.6330475807189941	0.7779119610786438	0.6992774605751038	0.747850775718689
500	0.5	18	0.01	0.6346405744552612	0.781014084815979	0.6814689040184021	0.7643653750419617
500	0.5	19	0.01	0.627364456653595	0.7800562977790833	0.6692109704017639	0.7639845013618469
500	0.5	20	0.01	0.6093522906303406	0.7892165780067444	0.6477668285369873	0.7734376788139343
